code,parent_code,name,level,description,indication,smiles,drugbank_id
C10BX04,C10BX,"simvastatin, acetylsalicylic acid and ramipril",5.0,"Also known as _Aspirin_, acetylsalicylic acid (ASA) is a commonly used drug for the treatment of pain and fever due to various causes. Acetylsalicylic acid has both anti-inflammatory and antipyretic effects.  This drug also inhibits platelet aggregation and is used in the prevention of blood clots stroke, and myocardial infarction (MI) [FDA label].  

Interestingly, the results of various studies have demonstrated that long-term use of acetylsalicylic acid may decrease the risk of various cancers, including colorectal, esophageal, breast, lung, prostate, liver and skin cancer [A177325]. Aspirin is classified as a _non-selective cyclooxygenase (COX) inhibitor_ [A32682, A177268] and is available in many doses and forms, including chewable tablets, suppositories, extended release formulations, and others [L5968]. 

Acetylsalicylic acid is a very common cause of accidental poisoning in young children. It should be kept out of reach from young children, toddlers, and infants [FDA label].","**Pain, fever, and inflammation**

Acetylsalicylic acid (ASA), in the regular tablet form (immediate-release), is indicated to relieve pain, fever, and inflammation associated with many conditions, including the flu, the common cold, neck and back pain, dysmenorrhea, headache, tooth pain, sprains, fractures, myositis, neuralgia, synovitis, arthritis, bursitis, burns, and various injuries. It is also used for symptomatic pain relief after surgical and dental procedures [FDA label]. 

The _extra strength_ formulation of acetylsalicylic acid is also indicated for the management migraine pain with photophobia (sensitivity to light) and phonophobia (sensitivity to sound)[FDA label].

**Other indications**

ASA is also indicated for various other purposes, due to its ability to inhibit platelet aggregation. These include: 

Reducing the risk of cardiovascular death in suspected cases of myocardial infarction (MI) [FDA label]. 

Reducing the risk of a first non-fatal myocardial infarction in patients, and for reducing the risk of morbidity and mortality in cases of unstable angina and in those who have had a prior myocardial infarction [FDA label].

For reducing the risk of transient ischemic attacks (TIA) and to prevent atherothrombotic cerebral infarction (in conjunction with other treatments) [FDA label].

For the prevention of thromboembolism after hip replacement surgery [FDA label]. 

For decreasing platelet to platelet adhesion following carotid endarterectomy, aiding in the prevention of transient ischemic attacks (TIA) [FDA label].

Used for patients undergoing hemodialysis with a silicone rubber arteriovenous cannula inserted to prevent thrombosis at the insertion site [FDA Label]. 

**Important note regarding use of the extended-release formulation [F4405]**

In the setting of acute myocardial infarction, or before percutaneous interventions, the extended-release form of acetylsalicylic acid should not be used. Use immediate-release formulations in scenarios requiring rapid onset of action [Label, F4405]. The extended-release form is taken to decrease the incidence of mortality and myocardial infarction (MI) for individuals diagnosed with chronic coronary artery disease (CAD), including patients with previous myocardial infarction (MI) or unstable angina or with chronic stable angina. Additionally, the extended-release form is used to decrease the risk of death and recurrent episodes of stroke in patients with a history of stroke or TIA [F4405].


 ",CC(=O)OC1=CC=CC=C1C(O)=O,DB00945
C10BX05,C10BX,rosuvastatin and acetylsalicylic acid,5.0,"Also known as _Aspirin_, acetylsalicylic acid (ASA) is a commonly used drug for the treatment of pain and fever due to various causes. Acetylsalicylic acid has both anti-inflammatory and antipyretic effects.  This drug also inhibits platelet aggregation and is used in the prevention of blood clots stroke, and myocardial infarction (MI) [FDA label].  

Interestingly, the results of various studies have demonstrated that long-term use of acetylsalicylic acid may decrease the risk of various cancers, including colorectal, esophageal, breast, lung, prostate, liver and skin cancer [A177325]. Aspirin is classified as a _non-selective cyclooxygenase (COX) inhibitor_ [A32682, A177268] and is available in many doses and forms, including chewable tablets, suppositories, extended release formulations, and others [L5968]. 

Acetylsalicylic acid is a very common cause of accidental poisoning in young children. It should be kept out of reach from young children, toddlers, and infants [FDA label].","**Pain, fever, and inflammation**

Acetylsalicylic acid (ASA), in the regular tablet form (immediate-release), is indicated to relieve pain, fever, and inflammation associated with many conditions, including the flu, the common cold, neck and back pain, dysmenorrhea, headache, tooth pain, sprains, fractures, myositis, neuralgia, synovitis, arthritis, bursitis, burns, and various injuries. It is also used for symptomatic pain relief after surgical and dental procedures [FDA label]. 

The _extra strength_ formulation of acetylsalicylic acid is also indicated for the management migraine pain with photophobia (sensitivity to light) and phonophobia (sensitivity to sound)[FDA label].

**Other indications**

ASA is also indicated for various other purposes, due to its ability to inhibit platelet aggregation. These include: 

Reducing the risk of cardiovascular death in suspected cases of myocardial infarction (MI) [FDA label]. 

Reducing the risk of a first non-fatal myocardial infarction in patients, and for reducing the risk of morbidity and mortality in cases of unstable angina and in those who have had a prior myocardial infarction [FDA label].

For reducing the risk of transient ischemic attacks (TIA) and to prevent atherothrombotic cerebral infarction (in conjunction with other treatments) [FDA label].

For the prevention of thromboembolism after hip replacement surgery [FDA label]. 

For decreasing platelet to platelet adhesion following carotid endarterectomy, aiding in the prevention of transient ischemic attacks (TIA) [FDA label].

Used for patients undergoing hemodialysis with a silicone rubber arteriovenous cannula inserted to prevent thrombosis at the insertion site [FDA Label]. 

**Important note regarding use of the extended-release formulation [F4405]**

In the setting of acute myocardial infarction, or before percutaneous interventions, the extended-release form of acetylsalicylic acid should not be used. Use immediate-release formulations in scenarios requiring rapid onset of action [Label, F4405]. The extended-release form is taken to decrease the incidence of mortality and myocardial infarction (MI) for individuals diagnosed with chronic coronary artery disease (CAD), including patients with previous myocardial infarction (MI) or unstable angina or with chronic stable angina. Additionally, the extended-release form is used to decrease the risk of death and recurrent episodes of stroke in patients with a history of stroke or TIA [F4405].


 ",CC(=O)OC1=CC=CC=C1C(O)=O,DB00945
C10BX05,C10BX,rosuvastatin and acetylsalicylic acid,5.0,"Rosuvastatin, also known as the brand name product Crestor, is a lipid-lowering drug that belongs to the statin class of medications, which are used to lower the risk of cardiovascular disease and manage elevated lipid levels by inhibiting the endogenous production of cholesterol in the liver. More specifically, statin medications competitively inhibit the enzyme hydroxymethylglutaryl-coenzyme A (HMG-CoA) Reductase,[A181421] which catalyzes the conversion of HMG-CoA to mevalonic acid and is the third step in a sequence of metabolic reactions involved in the production of several compounds involved in lipid metabolism and transport including cholesterol, low-density lipoprotein (LDL) (sometimes referred to as ""bad cholesterol""), and very low-density lipoprotein (VLDL). Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD, such as those with Type 2 Diabetes. The clear evidence of the benefit of statin use coupled with very minimal side effects or long term effects has resulted in this class becoming one of the most widely prescribed medications in North America.[A181087, A181406]

Rosuvastatin and other drugs from the statin class of medications including [atorvastatin], [pravastatin], [simvastatin], [fluvastatin], and [lovastatin] are considered first-line options for the treatment of dyslipidemia.[A181087, A181406] This is largely due to the fact that cardiovascular disease (CVD), which includes heart attack, atherosclerosis, angina, peripheral artery disease, and stroke, has become a leading cause of death in high-income countries and a major cause of morbidity around the world.[A181084] Elevated cholesterol levels, and in particular, elevated low-density lipoprotein (LDL) levels, are an important risk factor for the development of CVD.[A181087,A181553] Use of statins to target and reduce LDL levels has been shown in a number of landmark studies to significantly reduce the risk of development of CVD and all-cause mortality.[A181090,A181093,A181096,A181427,A181475,A181538] Statins are considered a cost-effective treatment option for CVD due to their evidence of reducing all-cause mortality including fatal and non-fatal CVD as well as the need for surgical revascularization or angioplasty following a heart attack.[A181087, A181406] Evidence has shown that even for low-risk individuals (with <10% risk of a major vascular event occurring within 5 years) statins cause a 20%-22% relative reduction in major cardiovascular events (heart attack, stroke, coronary revascularization, and coronary death) for every 1 mmol/L reduction in LDL without any significant side effects or risks.[A181397, A181403]

While all statin medications are considered equally effective from a clinical standpoint, rosuvastatin is considered the most potent; doses of 10 to 40mg rosuvastatin per day were found in clinical studies to result in a 45.8% to 54.6% decreases in LDL cholesterol levels, which is about three-fold more potent than [atorvastatin]'s effects on LDL cholesterol.[A181409,A1793] However, the results of the SATURN trial[A181427] concluded that despite this difference in potency, there was no difference in their effect on the progression of coronary atherosclerosis.

Rosuvastatin is also a unique member of the class of statins due to its high hydrophilicity which increases hepatic uptake at the site of action, low bioavailability, and minimal metabolism via the Cytochrome P450 system.[A181523] This last point results in less risk of drug-drug interactions compared to [atorvastatin], [lovastatin], and [simvastatin], which are all extensively metabolized by Cytochrome P450 (CYP) 3A4, an enzyme involved in the metabolism of many commonly used drugs.[A181460] Drugs such as [ciclosporin], [gemfibrozil], and some antiretrovirals are more likely to interact with this statin through antagonism of OATP1B1 organic anion transporter protein 1B1-mediated hepatic uptake of rosuvastatin.[F4649, F4652]","The FDA monograph states that rosuvastatin is indicated as an adjunct to diet in the treatment of triglyceridemia, Primary Dysbetalipoproteinemia (Type III Hyperlipoproteinemia), and Homozygous Familial Hypercholesterolemia.[F4649]

The Health Canada monograph for rosuvastatin further specifies that rosuvastatin is indicated for the reduction of elevated total cholesterol (Total-C), LDL-C, ApoB, the Total-C/HDL-C ratio and triglycerides (TG) and for increasing HDL-C in hyperlipidemic and dyslipidemic conditions when response to diet and exercise alone has been inadequate. It is also indicated for the prevention of major cardiovascular events (including risk of myocardial infarction, nonfatal stroke, and coronary artery revascularization) in adult patients without documented history of cardiovascular or cerebrovascular events, but with at least two conventional risk factors for cardiovascular disease.[F4652]

Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD. Statin-indicated conditions include diabetes mellitus, clinical atherosclerosis (including myocardial infarction, acute coronary syndromes, stable angina, documented coronary artery disease, stroke, trans ischemic attack (TIA), documented carotid disease, peripheral artery disease, and claudication), abdominal aortic aneurysm, chronic kidney disease, and severely elevated LDL-C levels.[A181087, A181406]",CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(C)(=O)=O,DB01098
C10BX06,C10BX,"atorvastatin, acetylsalicylic acid and ramipril",5.0,"Ramipril is a prodrug belonging to the angiotensin-converting enzyme (ACE) inhibitor class of medications. It is metabolized to ramiprilat in the liver and, to a lesser extent, kidneys. Ramiprilat is a potent, competitive inhibitor of ACE, the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Ramipril may be used in the treatment of hypertension, congestive heart failure, nephropathy, and to reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events.","For the management of mild to severe hypertension. May be used to reduce cardiovascular mortality following myocardial infarction in hemodynamically stable individuals who develop clinical signs of congestive heart failure within a few days following myocardial infarction. [FDA Label] To reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events. May be used to slow the progression of renal disease in individuals with hypertension, diabetes mellitus and microalubinuria or overt nephropathy. [T116] ",[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,DB00178
C10BX06,C10BX,"atorvastatin, acetylsalicylic acid and ramipril",5.0,"Also known as _Aspirin_, acetylsalicylic acid (ASA) is a commonly used drug for the treatment of pain and fever due to various causes. Acetylsalicylic acid has both anti-inflammatory and antipyretic effects.  This drug also inhibits platelet aggregation and is used in the prevention of blood clots stroke, and myocardial infarction (MI) [FDA label].  

Interestingly, the results of various studies have demonstrated that long-term use of acetylsalicylic acid may decrease the risk of various cancers, including colorectal, esophageal, breast, lung, prostate, liver and skin cancer [A177325]. Aspirin is classified as a _non-selective cyclooxygenase (COX) inhibitor_ [A32682, A177268] and is available in many doses and forms, including chewable tablets, suppositories, extended release formulations, and others [L5968]. 

Acetylsalicylic acid is a very common cause of accidental poisoning in young children. It should be kept out of reach from young children, toddlers, and infants [FDA label].","**Pain, fever, and inflammation**

Acetylsalicylic acid (ASA), in the regular tablet form (immediate-release), is indicated to relieve pain, fever, and inflammation associated with many conditions, including the flu, the common cold, neck and back pain, dysmenorrhea, headache, tooth pain, sprains, fractures, myositis, neuralgia, synovitis, arthritis, bursitis, burns, and various injuries. It is also used for symptomatic pain relief after surgical and dental procedures [FDA label]. 

The _extra strength_ formulation of acetylsalicylic acid is also indicated for the management migraine pain with photophobia (sensitivity to light) and phonophobia (sensitivity to sound)[FDA label].

**Other indications**

ASA is also indicated for various other purposes, due to its ability to inhibit platelet aggregation. These include: 

Reducing the risk of cardiovascular death in suspected cases of myocardial infarction (MI) [FDA label]. 

Reducing the risk of a first non-fatal myocardial infarction in patients, and for reducing the risk of morbidity and mortality in cases of unstable angina and in those who have had a prior myocardial infarction [FDA label].

For reducing the risk of transient ischemic attacks (TIA) and to prevent atherothrombotic cerebral infarction (in conjunction with other treatments) [FDA label].

For the prevention of thromboembolism after hip replacement surgery [FDA label]. 

For decreasing platelet to platelet adhesion following carotid endarterectomy, aiding in the prevention of transient ischemic attacks (TIA) [FDA label].

Used for patients undergoing hemodialysis with a silicone rubber arteriovenous cannula inserted to prevent thrombosis at the insertion site [FDA Label]. 

**Important note regarding use of the extended-release formulation [F4405]**

In the setting of acute myocardial infarction, or before percutaneous interventions, the extended-release form of acetylsalicylic acid should not be used. Use immediate-release formulations in scenarios requiring rapid onset of action [Label, F4405]. The extended-release form is taken to decrease the incidence of mortality and myocardial infarction (MI) for individuals diagnosed with chronic coronary artery disease (CAD), including patients with previous myocardial infarction (MI) or unstable angina or with chronic stable angina. Additionally, the extended-release form is used to decrease the risk of death and recurrent episodes of stroke in patients with a history of stroke or TIA [F4405].


 ",CC(=O)OC1=CC=CC=C1C(O)=O,DB00945
C10BX06,C10BX,"atorvastatin, acetylsalicylic acid and ramipril",5.0,"Atorvastatin (Lipitor®), is a lipid-lowering drug included in the statin class of medications. By inhibiting the endogenous production of cholesterol in the liver, statins lower abnormal cholesterol and lipid levels, and ultimately reduce the risk of cardiovascular disease. More specifically, statin medications competitively inhibit the enzyme hydroxymethylglutaryl-coenzyme A (HMG-CoA) Reductase,[A181421] which catalyzes the conversion of HMG-CoA to mevalonic acid. This conversion is a critical metabolic reaction involved in the production of several compounds involved in lipid metabolism and transport, including cholesterol, low-density lipoprotein (LDL) (sometimes referred to as ""bad cholesterol""), and very-low-density lipoprotein (VLDL). Prescribing statins is considered standard practice for patients following any cardiovascular event, and for people who are at moderate to high risk of developing cardiovascular disease. The evidence supporting statin use, coupled with minimal side effects and long term benefits, has resulted in wide use of this medication in North America.[A181087, A181406]

Atorvastatin and other statins including [lovastatin], [pravastatin], [rosuvastatin], [fluvastatin], and [simvastatin] are considered first-line treatment options for dyslipidemia.[A181087, A181406] The increasing use of this class of drugs is largely attributed to the rise in cardiovascular diseases (CVD) (such as heart attack, atherosclerosis, angina, peripheral artery disease, and stroke) in many countries.[A181084] An elevated cholesterol level (elevated low-density lipoprotein (LDL) levels in particular) is a significant risk factor for the development of CVD.[A181087,A181553] Several landmark studies demonstrate that the use of statins is associated with both a reduction in LDL levels and CVD risk.[A181090,A181093,A181096,A181427,A181475,A181538] Statins were shown to reduce the incidences of all-cause mortality, including fatal and non-fatal CVD, as well as the need for surgical revascularization or angioplasty following a heart attack.[A181087, A181406] Some evidence has shown that even for low-risk individuals (with <10% risk of a major vascular event occurring within five years) statin use leads to a 20%-22% relative reduction in the number of major cardiovascular events (heart attack, stroke, coronary revascularization, and coronary death) for every 1 mmol/L reduction in LDL without any significant side effects or risks.[A181397, A181403]

Atorvastatin was first synthesized in 1985 by Dr. Bruce Roth and approved by the FDA in 1996.[T568] It is a pentasubstituted pyrrole [A177415] formed by two contrasting moieties with an achiral heterocyclic core unit and a 3,5-dihydroxypentanoyl side chain identical to its parent compound.[T571] Unlike other members of the statin group, atorvastatin is an active compound and therefore does not require activation.[A177436]","Atorvastatin is indicated for the treatment of several types of dyslipidemias, including primary hyperlipidemia and mixed dyslipidemia in adults, hypertriglyceridemia, primary dysbetalipoproteinemia, homozygous familial hypercholesterolemia, and heterozygous familial hypercholesterolemia in adolescent patients with failed dietary modifications.[A177397]

Dyslipidemia describes an elevation of plasma cholesterol, triglycerides or both as well as to the presence of low levels of high-density lipoprotein. This condition represents an increased risk for the development of atherosclerosis.[L6025] 

Atorvastatin is indicated, in combination with dietary modifications, to prevent cardiovascular events in patients with cardiac risk factors and/or abnormal lipid profiles.[A177397]

Atorvastatin can be used as a preventive agent for myocardial infarction, stroke, revascularization, and angina, in patients without coronary heart disease but with multiple risk factors and in patients with type 2 diabetes without coronary heart disease but multiple risk factors.[A177397]

Atorvastatin may be used as a preventive agent for non-fatal myocardial infarction, fatal and non-fatal stroke, revascularization procedures, hospitalization for congestive heart failure and angina in patients with coronary heart disease.[A177397]

Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD. Statin-indicated conditions include diabetes mellitus, clinical atherosclerosis (including myocardial infarction, acute coronary syndromes, stable angina, documented coronary artery disease, stroke, trans ischemic attack (TIA), documented carotid disease, peripheral artery disease, and claudication), abdominal aortic aneurysm, chronic kidney disease, and severely elevated LDL-C levels.[A181087, A181406]",CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,DB01076
C10BX07,C10BX,"rosuvastatin, amlodipine and lisinopril",5.0,"Amlodipine, initially approved by the FDA in 1987, is a popular antihypertensive drug belonging to the group of drugs called _dihydropyridine calcium channel blockers_.  Due to their selectivity for the peripheral blood vessels, dihydropyridine calcium channel blockers are associated with a lower incidence of myocardial depression and cardiac conduction abnormalities than other calcium channel blockers [A175327].

Amlodipine is commonly used in the treatment of high blood pressure and angina. Amlodipine has antioxidant properties and an ability to enhance the production of nitric oxide (NO), an important vasodilator that decreases blood pressure [A175321].  The option for single daily dosing of amlodipine is an attractive feature of this drug [FDA label].","Amlodipine may be used alone or in combination with other antihypertensive and antianginal agents for the treatment of the following conditions [FDA label]:

• Hypertension 

• Coronary artery disease

• Chronic stable angina

• Vasospastic angina (Prinzmetal’s or Variant angina) 

• Angiographically documented coronary artery disease in patients without heart failure or an ejection fraction < 40%",CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,DB00381
C10BX07,C10BX,"rosuvastatin, amlodipine and lisinopril",5.0,"Lisinopril is an angiotensin converting enzyme inhibitor (ACEI) used to treat hypertension, heart failure, and myocardial infarction.[L8384,L8387,L8390] Lisinopril and [captopril] are the only ACEIs that are not prodrugs.[A184853] It functions by inhibition of angiotensin converting enzyme as well as the renin angiotensin aldosterone system.[A184781,A184808,A184817] ACEIs are commonly used as a first line therapy in the treatment of hypertension, along with thiazide diuretics or beta blockers.[A184844]

Lisinopril was granted FDA approval on 29 December 1987.[L8384]","Lisinopril is indicated for the treatment of acute myocardial infarction, hypertension in patients ≥6 years, and as an adjunct therapy for heart failure.[L8384,L8387] A combination product with hydrochlorothiazide is indicated for the treatment of hypertension.[L8390]",NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,DB00722
C10BX07,C10BX,"rosuvastatin, amlodipine and lisinopril",5.0,"Rosuvastatin, also known as the brand name product Crestor, is a lipid-lowering drug that belongs to the statin class of medications, which are used to lower the risk of cardiovascular disease and manage elevated lipid levels by inhibiting the endogenous production of cholesterol in the liver. More specifically, statin medications competitively inhibit the enzyme hydroxymethylglutaryl-coenzyme A (HMG-CoA) Reductase,[A181421] which catalyzes the conversion of HMG-CoA to mevalonic acid and is the third step in a sequence of metabolic reactions involved in the production of several compounds involved in lipid metabolism and transport including cholesterol, low-density lipoprotein (LDL) (sometimes referred to as ""bad cholesterol""), and very low-density lipoprotein (VLDL). Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD, such as those with Type 2 Diabetes. The clear evidence of the benefit of statin use coupled with very minimal side effects or long term effects has resulted in this class becoming one of the most widely prescribed medications in North America.[A181087, A181406]

Rosuvastatin and other drugs from the statin class of medications including [atorvastatin], [pravastatin], [simvastatin], [fluvastatin], and [lovastatin] are considered first-line options for the treatment of dyslipidemia.[A181087, A181406] This is largely due to the fact that cardiovascular disease (CVD), which includes heart attack, atherosclerosis, angina, peripheral artery disease, and stroke, has become a leading cause of death in high-income countries and a major cause of morbidity around the world.[A181084] Elevated cholesterol levels, and in particular, elevated low-density lipoprotein (LDL) levels, are an important risk factor for the development of CVD.[A181087,A181553] Use of statins to target and reduce LDL levels has been shown in a number of landmark studies to significantly reduce the risk of development of CVD and all-cause mortality.[A181090,A181093,A181096,A181427,A181475,A181538] Statins are considered a cost-effective treatment option for CVD due to their evidence of reducing all-cause mortality including fatal and non-fatal CVD as well as the need for surgical revascularization or angioplasty following a heart attack.[A181087, A181406] Evidence has shown that even for low-risk individuals (with <10% risk of a major vascular event occurring within 5 years) statins cause a 20%-22% relative reduction in major cardiovascular events (heart attack, stroke, coronary revascularization, and coronary death) for every 1 mmol/L reduction in LDL without any significant side effects or risks.[A181397, A181403]

While all statin medications are considered equally effective from a clinical standpoint, rosuvastatin is considered the most potent; doses of 10 to 40mg rosuvastatin per day were found in clinical studies to result in a 45.8% to 54.6% decreases in LDL cholesterol levels, which is about three-fold more potent than [atorvastatin]'s effects on LDL cholesterol.[A181409,A1793] However, the results of the SATURN trial[A181427] concluded that despite this difference in potency, there was no difference in their effect on the progression of coronary atherosclerosis.

Rosuvastatin is also a unique member of the class of statins due to its high hydrophilicity which increases hepatic uptake at the site of action, low bioavailability, and minimal metabolism via the Cytochrome P450 system.[A181523] This last point results in less risk of drug-drug interactions compared to [atorvastatin], [lovastatin], and [simvastatin], which are all extensively metabolized by Cytochrome P450 (CYP) 3A4, an enzyme involved in the metabolism of many commonly used drugs.[A181460] Drugs such as [ciclosporin], [gemfibrozil], and some antiretrovirals are more likely to interact with this statin through antagonism of OATP1B1 organic anion transporter protein 1B1-mediated hepatic uptake of rosuvastatin.[F4649, F4652]","The FDA monograph states that rosuvastatin is indicated as an adjunct to diet in the treatment of triglyceridemia, Primary Dysbetalipoproteinemia (Type III Hyperlipoproteinemia), and Homozygous Familial Hypercholesterolemia.[F4649]

The Health Canada monograph for rosuvastatin further specifies that rosuvastatin is indicated for the reduction of elevated total cholesterol (Total-C), LDL-C, ApoB, the Total-C/HDL-C ratio and triglycerides (TG) and for increasing HDL-C in hyperlipidemic and dyslipidemic conditions when response to diet and exercise alone has been inadequate. It is also indicated for the prevention of major cardiovascular events (including risk of myocardial infarction, nonfatal stroke, and coronary artery revascularization) in adult patients without documented history of cardiovascular or cerebrovascular events, but with at least two conventional risk factors for cardiovascular disease.[F4652]

Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD. Statin-indicated conditions include diabetes mellitus, clinical atherosclerosis (including myocardial infarction, acute coronary syndromes, stable angina, documented coronary artery disease, stroke, trans ischemic attack (TIA), documented carotid disease, peripheral artery disease, and claudication), abdominal aortic aneurysm, chronic kidney disease, and severely elevated LDL-C levels.[A181087, A181406]",CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(C)(=O)=O,DB01098
C10BX08,C10BX,atorvastatin and acetylsalicylic acid,5.0,"Also known as _Aspirin_, acetylsalicylic acid (ASA) is a commonly used drug for the treatment of pain and fever due to various causes. Acetylsalicylic acid has both anti-inflammatory and antipyretic effects.  This drug also inhibits platelet aggregation and is used in the prevention of blood clots stroke, and myocardial infarction (MI) [FDA label].  

Interestingly, the results of various studies have demonstrated that long-term use of acetylsalicylic acid may decrease the risk of various cancers, including colorectal, esophageal, breast, lung, prostate, liver and skin cancer [A177325]. Aspirin is classified as a _non-selective cyclooxygenase (COX) inhibitor_ [A32682, A177268] and is available in many doses and forms, including chewable tablets, suppositories, extended release formulations, and others [L5968]. 

Acetylsalicylic acid is a very common cause of accidental poisoning in young children. It should be kept out of reach from young children, toddlers, and infants [FDA label].","**Pain, fever, and inflammation**

Acetylsalicylic acid (ASA), in the regular tablet form (immediate-release), is indicated to relieve pain, fever, and inflammation associated with many conditions, including the flu, the common cold, neck and back pain, dysmenorrhea, headache, tooth pain, sprains, fractures, myositis, neuralgia, synovitis, arthritis, bursitis, burns, and various injuries. It is also used for symptomatic pain relief after surgical and dental procedures [FDA label]. 

The _extra strength_ formulation of acetylsalicylic acid is also indicated for the management migraine pain with photophobia (sensitivity to light) and phonophobia (sensitivity to sound)[FDA label].

**Other indications**

ASA is also indicated for various other purposes, due to its ability to inhibit platelet aggregation. These include: 

Reducing the risk of cardiovascular death in suspected cases of myocardial infarction (MI) [FDA label]. 

Reducing the risk of a first non-fatal myocardial infarction in patients, and for reducing the risk of morbidity and mortality in cases of unstable angina and in those who have had a prior myocardial infarction [FDA label].

For reducing the risk of transient ischemic attacks (TIA) and to prevent atherothrombotic cerebral infarction (in conjunction with other treatments) [FDA label].

For the prevention of thromboembolism after hip replacement surgery [FDA label]. 

For decreasing platelet to platelet adhesion following carotid endarterectomy, aiding in the prevention of transient ischemic attacks (TIA) [FDA label].

Used for patients undergoing hemodialysis with a silicone rubber arteriovenous cannula inserted to prevent thrombosis at the insertion site [FDA Label]. 

**Important note regarding use of the extended-release formulation [F4405]**

In the setting of acute myocardial infarction, or before percutaneous interventions, the extended-release form of acetylsalicylic acid should not be used. Use immediate-release formulations in scenarios requiring rapid onset of action [Label, F4405]. The extended-release form is taken to decrease the incidence of mortality and myocardial infarction (MI) for individuals diagnosed with chronic coronary artery disease (CAD), including patients with previous myocardial infarction (MI) or unstable angina or with chronic stable angina. Additionally, the extended-release form is used to decrease the risk of death and recurrent episodes of stroke in patients with a history of stroke or TIA [F4405].


 ",CC(=O)OC1=CC=CC=C1C(O)=O,DB00945
