C0000039	1,2-dipalmitoylphosphatidylcholine
C0000793	Termination of pregnancy on demand
C0000804	Illegal termination of pregnancy
C0000809	Recurrent miscarriage
C0000810	Incomplete miscarriage
C0000814	Missed miscarriage
C0000820	Therapeutic termination of pregnancy procedure
C0000821	Threatened miscarriage
C0000822	Miscarriage of tubal ectopic pregnancy
C0000829	Abrin
C0000832	Accidental antepartum hemorrhage
C0000833	Abscess
C0000843	Abscisic acid
C0000846	Agenesis
C0000848	Posterior tibial pulse absent
C0000850	Absidia (fungus)
C0000873	Academic problem
C0000879	Acanthamoeba
C0000880	Acanthamoeba keratitis
C0000886	Acanthocytes
C0000887	Acantholysis
C0000889	Acanthosis nigricans
C0000893	Accelerated particle
C0000894	Acceleration
C0000905	Accessory nerve structure
C0000915	Accident caused by lightning
C0000916	Accidents due to residence or prolonged visit at high altitude
C0000918	Accident prevention
C0000921	Accidental fall
C0000925	Incised wound
C0000930	Industrial accident
C0000934	Acclimation
C0000936	Ocular accommodation
C0000946	Acebutolol
C0000949	Acedapsone
C0000956	Acenocoumarol
C0000959	Acepromazine
C0000960	Acepromazine maleate
C0000962	Bone structure of acetabulum
C0000966	Acetaldehyde
C0000967	Acetal
C0000970	Acetaminophen
C0000973	N-phenylacetamide
C0000974	Acetanilides
C0000975	Acetate
C0000977	Acetate kinase
C0000981	Acetazolamide
C0000983	Acetic acid-containing product
C0000986	Acetic anhydride
C0000992	Acetohexamide
C0000997	Acetoin dehydrogenase
C0000999	Acetolactate synthase
C0001002	Acetone
C0001019	Thiolase
C0001021	Acetyl-CoA acyltransferase
C0001022	Acetyl-CoA carboxylase
C0001024	Acetyl-CoA hydrolase
C0001026	Acetyl coenzyme A
C0001028	Acetate-CoA ligase
C0001040	Acetylcarnitine
C0001041	Acetylcholine
C0001044	Acetylcholinesterase
C0001046	Acetylcholinesterase inhibitor
C0001047	Acetylcysteine
C0001052	Acetylene
C0001053	Acetylesterase
C0001056	N-Acetylglucosamine
C0001057	N-Acetyl-beta-glucosaminidase
C0001061	Acecainide
C0001064	Acetylserotonin methyltransferase
C0001068	Transacetylase
C0001074	Structure of Achilles tendon
C0001075	Achlorhydria
C0001079	Achondrogenesis
C0001080	Achondroplasia
C0001102	Acid lipase
C0001109	Acid phosphatase
C0001117	Acid-base equilibrium
C0001122	Acidosis
C0001125	Lactic acidosis
C0001126	Renal tubular acidosis
C0001127	Respiratory acidosis
C0001128	Acid
C0001134	Acidulated phosphate fluoride
C0001138	Acinetobacter
C0001139	Acinetobacter Infections
C0001142	Acladiosis
C0001143	Aclarubicin
C0001144	Acne Vulgaris
C0001145	Acne keloid
C0001156	Aconitate hydratase
C0001159	Aconitine
C0001161	Oto-admittance tests
C0001162	Vestibulocochlear nerve structure
C0001163	Disorder of acoustic nerve
C0001168	Complete obstruction
C0001169	Acquired coagulation factor deficiency
C0001173	Acquired obstruction of pylorus
C0001175	AIDS
C0001185	Acridine orange stain
C0001187	Acriflavine
C0001193	Acrocephalosyndactyly type I
C0001197	Acrodermatitis
C0001198	Acrodynia due to mercury
C0001202	Acrokeratosis
C0001204	Acrolein
C0001206	Acromegaly
C0001207	Hypersomatotropic gigantism
C0001208	Acromioclavicular joint structure
C0001209	Structure of acromion
C0001214	Acrosin
C0001223	Acrylonitrile
C0001231	Hypercortisolism due to nonpituitary tumor
C0001239	Actin-binding protein
C0001246	Actinium
C0001247	Actinobacillosis
C0001248	Actinobacillus
C0001249	Actinobacillus infection
C0001252	Actinomyces israelii (bacteria)
C0001255	Infection caused by Actinomycetales
C0001261	Actinomycotic infection
C0001263	Abdominal actinomycosis
C0001264	Cervicofacial actinomycosis
C0001268	Spectinomycin
C0001271	Actin
C0001275	Activated charcoal-containing product
C0001299	Acupuncture therapy discipline
C0001300	Acupuncture for analgesia
C0001301	Acupuncture for anesthesia
C0001302	Acupuncture point
C0001304	Acute abscess
C0001305	Acute adenoviral follicular conjunctivitis
C0001306	Acute alcoholic liver disease
C0001308	Acute and subacute liver necrosis
C0001309	Acute atopic conjunctivitis
C0001311	Acute bronchiolitis
C0001314	Acute disease
C0001327	Acute laryngitis
C0001338	Herpetic acute necrotizing encephalitis
C0001339	Acute pancreatitis
C0001342	Acute periodontitis
C0001344	Acute pharyngitis
C0001347	Acute phase reactant
C0001349	Acute-Phase Reaction
C0001360	Acute thyroiditis
C0001361	Acute tonsillitis
C0001363	Acute vascular insufficiency of intestine
C0001364	Acute necrosis of liver
C0001365	Acute ill-defined cerebrovascular disease
C0001367	Acyclovir
C0001374	Acyl coenzyme A
C0001388	Acylneuraminate cytidylyltransferase
C0001392	Adamantane
C0001396	Stokes-Adams syndrome
C0001403	Addison's disease
C0001407	Adenine
C0001414	Adenine phosphoribosyltransferase
C0001418	Adenocarcinoma
C0001420	Papillary adenocarcinoma
C0001422	Adenofibroma
C0001425	Adenoid excision
C0001427	Adenoiditis
C0001428	Adenoidal structure
C0001429	Adenolymphoma
C0001430	Adenoma
C0001431	Basophil adenoma
C0001432	Chromophobe adenoma
C0001433	Acidophil adenoma
C0001442	Adenosarcoma
C0001443	Adenosine
C0001455	Cyclic adenosine monophosphate
C0001457	Adenosine deaminase
C0001459	Adenosine diphosphate
C0001464	Adenosine kinase
C0001465	Adenylic acid
C0001473	Adenosinetriphosphatase
C0001476	Ca^2+^-transporting ATPase
C0001479	Na^+^/K^+^-transporting ATPase
C0001480	Adenosine triphosphate
C0001483	Adenoviruses
C0001486	Disease due to Adenovirus
C0001487	Adenovirus Infections, Human
C0001492	Adenylate cyclase
C0001497	Adenylate kinase
C0001502	Adenylosuccinate lyase
C0001503	Adenylosuccinate synthase
C0001510	Postoperative adhesion
C0001511	Adhesion
C0001512	Adhesive bandage
C0001514	Adhesive tape
C0001519	Adie Syndrome
C0001521	Adiphenine
C0001525	Adipocere
C0001527	Adipose tissue
C0001529	Lipomatosis dolorosa
C0001539	Adjustment disorder with depressed mood
C0001540	Adjustment disorder with disturbance of conduct
C0001541	Adjustment disorder with mixed disturbance of emotions AND conduct
C0001542	Adjustment disorder with mixed emotional features
C0001543	Adjustment disorder with physical complaints
C0001544	Adjustment disorder with withdrawal
C0001546	Adjustment disorder
C0001548	Brief depressive adjustment reaction
C0001551	Immune enhancement agent
C0001559	Inhaled drug administration
C0001560	Medication administration: nasal
C0001561	Medication administration: vaginal
C0001563	Medication administration: oral
C0001565	Sublingual route
C0001566	Topical administration of treatment
C0001575	Uterine adnexae structure
C0001578	Adolescence
C0001613	Adrenal cortex structure
C0001614	Disorder of adrenal cortex
C0001617	Corticosteroid and corticosteroid derivative-containing product
C0001618	Neoplasm of adrenal cortex
C0001621	Disorder of adrenal gland
C0001622	Hypercortisolism
C0001623	Hypoadrenalism
C0001624	Neoplasm of adrenal gland
C0001625	Adrenal structure
C0001627	Congenital adrenal hyperplasia
C0001629	Adrenal medulla structure
C0001630	Adrenal rest tumor
C0001632	Adrenalectomy
C0001636	Epinephrine hydrochloride
C0001640	Alpha adrenergic receptor agonist-containing product
C0001641	Alpha adrenergic receptor antagonist
C0001642	Beta-1 adrenergic receptor
C0001643	Beta-2 adrenergic receptor
C0001644	Beta adrenergic receptor agonist-containing product
C0001645	Beta adrenergic receptor antagonist
C0001646	Sympathetic fiber
C0001648	Adrenergic receptor agonist-containing product
C0001652	Adrenochrome
C0001655	Adrenocorticotropic hormone
C0001676	Adult antisocial behavior
C0001692	Aedes <genus>
C0001697	Aeroallergen
C0001701	Aerobic exercises
C0001707	Aerophagy
C0001714	Polymyxin B sulfate
C0001721	Affect
C0001723	Affective psychosis
C0001727	Afferent loop syndrome
C0001733	Afibrinogenemia
C0001734	Aflatoxin
C0001757	Afrikaans language
C0001758	Aftercare
C0001762	Afterimage
C0001768	Agammaglobulinemia
C0001771	Agar
C0001779	Age
C0001783	Age factor
C0001792	Elderly (population group)
C0001802	Agglutination procedure
C0001804	Agglutinin
C0001811	Aging
C0001815	Myelosclerosis with myeloid metaplasia
C0001816	Agnosia
C0001818	Agoraphobia
C0001819	Agoraphobia without history of panic disorder
C0001824	Agranulocytosis
C0001825	Agraphia
C0001849	Dementia associated with AIDS
C0001860	Ainhum
C0001873	Air pollution
C0001876	Air pressure
C0001882	Air sickness
C0001883	Respiratory obstruction
C0001888	ajmaline
C0001889	Akinetic mutism
C0001898	Alanine
C0001899	Alanine aminotransferase
C0001900	Alanine racemase
C0001904	Alanine-tRNA ligase
C0001906	Alastrim
C0001910	Albanian language
C0001911	Albendazole
C0001916	Albinism
C0001922	Abnormal presence of albumin
C0001924	Albumin
C0001925	Albuminuria
C0001927	Albuterol
C0001933	Alcian blue 8GX stain
C0001937	alclofenac
C0001940	Alcohol amnestic disorder
C0001942	Alcohol dehydrogenase
C0001947	Alcohol metabolism modifier
C0001950	Idiosyncratic intoxication
C0001957	Alcohol withdrawal delirium
C0001962	Ethanol
C0001963	Methanol
C0001964	Propan-1-ol
C0001969	Alcohol intoxication
C0001973	Alcoholism
C0001975	Alcohol-containing product
C0001977	Butyl alcohol
C0001978	Hexanol
C0001979	Octanol
C0001981	Alcuronium
C0001985	Aldehyde dehydrogenase (NAD^+^)
C0001990	Aldehyde-lyase
C0001992	Aldehyde-containing product
C0001994	Aldicarb
C0002003	Aldehyde reductase
C0002006	Aldosterone
C0002007	Aldosterone receptor antagonist
C0002011	Aldrin
C0002016	Aleutian disease
C0002018	Alexia
C0002020	Alexithymia
C0002026	Alfentanil
C0002039	Algestone Acetophenide
C0002044	Algor mortis
C0002055	Alkali
C0002059	Alkaline phosphatase
C0002062	Alkaloid-containing product
C0002063	Alkalosis
C0002064	Respiratory alkalosis
C0002065	Alkane
C0002066	Alkaptonuria
C0002068	Alkene
C0002073	Alkylating agent-containing product
C0002078	Alkyne
C0002083	Allantoin
C0002092	Allergen product
C0002098	Hypersensitivity granuloma
C0002103	Atopic rhinitis
C0002113	Allergy to diagnostic agent
C0002119	Allyl cinerin
C0002132	Allobarbital
C0002139	Alloisoleucine
C0002142	Allophanate hydrolase
C0002144	Allopurinol
C0002146	Allosteric site
C0002151	Alloxan
C0002154	Metallic alloy
C0002158	Allylestrenol
C0002164	Almitrine
C0002165	almitrine dimesylate
C0002170	Alopecia
C0002171	Alopecia areata
C0002173	Alopecia mucinosa
C0002176	Endocrine alopecia
C0002178	Nutritional alopecia
C0002179	Postinfectional hypotrichosis
C0002180	Postpartum alopecia
C0002181	Syphilitic alopecia
C0002182	Traumatic alopecia
C0002190	Alpha-1-antichymotrypsin
C0002191	Alpha>1< anti-trypsin
C0002198	Alpha 2 macroglobulin
C0002199	Interferon alfa-containing product
C0002210	Fetuin
C0002211	Alpha globulin
C0002260	Eflornithine
C0002268	Alpha-galactosidase
C0002272	Alpha-glucosidase
C0002287	Alpha-lactalbumin
C0002302	Alpha-melanocyte stimulating hormone
C0002312	alpha Thalassemia
C0002327	Alphaprodine
C0002328	algestone
C0002333	Alprazolam
C0002334	Alprenolol
C0002335	Alprostadil
C0002340	Alseroxylon
C0002344	Alternate binaural loudness balance test
C0002349	Altitude
C0002351	Anoxia due to high altitude
C0002367	Aluminum
C0002368	Aluminum ammonium sulfate
C0002369	Aluminum and aluminum compound
C0002370	Aluminum aspirin
C0002371	Aluminum hydroxide-containing product
C0002372	Aluminum hydroxide gel
C0002374	Aluminum oxide-containing product
C0002382	Alveolar bone loss
C0002386	Alveolar process
C0002387	Augmentation of alveolar ridge
C0002390	Extrinsic allergic alveolitis
C0002395	Alzheimer's disease
C0002402	Amanitine
C0002403	Amantadine
C0002404	Amantadine sulfate
C0002406	Amaranth
C0002412	Ambenonium
C0002413	Ambenonium chloride
C0002416	Ambidextrous
C0002418	Amblyopia
C0002419	Tobacco amblyopia
C0002421	Ambroxol
C0002422	Ambulance
C0002428	Ambulatory surgery
C0002435	Amdinocillin
C0002436	Amdinocillin pivoxil-containing product
C0002438	Amebic infection
C0002441	Amebiasis of skin
C0002444	Amebicide-containing product
C0002445	Ameboma
C0002447	Amelia
C0002448	Ameloblastoma
C0002452	Amelogenesis imperfecta
C0002453	Amenorrhea
C0002467	Americium
C0002475	Mitomycin
C0002482	Amide
C0002483	Amidine
C0002484	Amidinotransferase
C0002492	Amidophosphoribosyltransferase
C0002496	Amidotrizoic acid-containing product
C0002499	Amikacin
C0002500	Amikacin measurement
C0002501	Amikacin sulfate
C0002502	Amiloride
C0002503	Aminacrine
C0002508	Amine
C0002514	Disorders of amino acid transport and metabolism
C0002517	Amino-acid racemase
C0002520	Amino acid-containing product
C0002521	Branched-chain amino acid
C0002524	Dicarboxylic amino acid
C0002525	Essential amino acid
C0002527	Sulfur-bearing amino acid
C0002530	Amino alcohol
C0002531	Amino sugar
C0002543	4-aminobutyrate aminotransferase
C0002555	Aminoglutethimide
C0002556	Aminoglycoside-containing product
C0002561	Aminoisobutyric acid
C0002563	5-aminolevulinic acid
C0002564	Porphobilinogen synthase
C0002565	5-aminolevulinate synthase
C0002570	Aminopeptidase
C0002575	Aminophylline
C0002583	Aminopterin
C0002584	Aminopyridine
C0002586	Aminopyrine
C0002593	Toluidine
C0002594	Aminotransferase
C0002598	Amiodarone
C0002600	Amitriptyline
C0002602	Aminotriazole
C0002607	Ammonia
C0002610	Ammonia-lyase
C0002611	Ammonium ion
C0002615	Ammonium chloride-containing product
C0002620	Ammonium sulfate
C0002622	Amnesia
C0002623	Post-traumatic amnesia
C0002624	Retrograde amnesia
C0002625	Amnestic disorder
C0002627	Amniocentesis
C0002631	Infection of amniotic cavity
C0002632	Amnioscopy
C0002636	Amniotic Band Syndrome
C0002638	Amniotic fluid
C0002640	Amobarbital
C0002641	Amodiaquine
C0002644	Amoxapine
C0002645	Amoxicillin
C0002651	AMP deaminase
C0002658	Amphetamine
C0002667	Amphetamines
C0002670	Amphibian venom
C0002679	Amphotericin B
C0002680	Ampicillin
C0002686	Amprolium
C0002688	Amputation
C0002689	Amputation of limb
C0002690	Amputation stump
C0002691	Amputation above-knee
C0002692	Amputation of leg through tibia and fibula
C0002694	Traumatic amputation
C0002697	Inamrinone
C0002699	Amsacrine
C0002707	Amygdalin
C0002708	Amygdaloid structure
C0002710	Pentanol
C0002711	Amyl nitrite-containing product
C0002712	Amylase-containing product
C0002721	Amyloid P component
C0002723	Serum amyloid A protein
C0002726	Amyloidosis
C0002728	Amylopectin
C0002732	Amylose
C0002735	Amyotonia congenita
C0002736	Amyotrophic lateral sclerosis
C0002743	Anabasine
C0002753	Anal and rectal polyp
C0002760	Structure of sphincter ani muscle
C0002763	Central stimulant
C0002766	Pain management
C0002768	Congenital indifference to pain
C0002771	Analgesic
C0002778	Analysis
C0002791	Anaphylatoxin
C0002792	Anaphylaxis
C0002793	Dedifferentiation
C0002797	Anaplasmosis
C0002804	Roux-en-Y - action
C0002823	Ancrod
C0002826	Necator americanus
C0002831	Ancylostomiasis
C0002839	Andresen orthodontic appliance
C0002842	Androgen receptor antagonist-containing product
C0002844	Androgen receptor agonist-containing product
C0002845	Anabolic steroid-containing product
C0002854	Androstane-containing product
C0002860	Androstenedione
C0002865	Androsterone
C0002866	Androsterone measurement
C0002871	Anemia
C0002873	Anemia of chronic disease
C0002874	Hematopoietic aplasia
C0002875	Homozygous beta thalassemia
C0002876	Congenital dyserythropoietic anemia
C0002878	Hemolytic anemia
C0002879	Acquired hemolytic anemia
C0002880	Autoimmune hemolytic anemia
C0002881	Congenital hemolytic anemia
C0002882	Hereditary nonspherocytic hemolytic anemia
C0002886	Macrocytic anemia
C0002888	Megaloblastic anemia
C0002890	Myelophthisic anemia
C0002891	Neonatal anemia
C0002892	Pernicious anemia
C0002893	Refractory anemia
C0002894	Refractory anemia with excess blasts (clinical)
C0002895	Sickle cell-hemoglobin SS disease
C0002896	Sideroblastic anemia
C0002902	Anencephalus
C0002903	Administration of anesthesia
C0002911	Regional anesthesia
C0002913	Epidural anesthesia
C0002915	General anesthesia
C0002919	Endotracheal anesthesia
C0002920	Intravenous anesthesia
C0002921	Local anesthesia
C0002928	Spinal anesthesia
C0002932	Anesthetic
C0002933	Anesthetics, Dissociative
C0002934	Local anesthetic
C0002937	Anetholtrithion
C0002938	Aneuploidy
C0002940	Aneurysm
C0002949	Dissection of artery
C0002952	Repair of aneurysm by suture
C0002957	Feeling angry
C0002959	Angiectasia
C0002962	Ischemic chest pain
C0002963	Prinzmetal angina
C0002965	Impending infarction
C0002971	Angiocardiography
C0002978	Angiography
C0002979	Digital subtraction angiography
C0002982	Angioid Streaks
C0002983	Angioid streaks of choroid
C0002985	Angiokeratoma
C0002986	Deficiency of alpha-galactosidase
C0002989	Epithelioid hemangioma of skin
C0002991	Dermatofibroma
C0002992	Angiomatosis
C0002994	Angioedema
C0002997	Angioplasty, Balloon, Coronary
C0002998	Repair of blood vessel with suture
C0003006	Angiotensin I
C0003009	Angiotensin II-containing product
C0003012	Angiotensin III
C0003015	Angiotensin-converting enzyme inhibitor-containing product
C0003016	Angiotensinase
C0003017	Angiotensinogen
C0003018	Angiotensin
C0003028	Anhidrosis
C0003036	Aniline
C0003074	Anion gap
C0003076	Congenital aniridia
C0003078	Aniseikonia
C0003079	Anisocoria
C0003081	Anisometropia
C0003087	Ankle joint structure
C0003090	Ankylosis
C0003107	Pruritis of skin of anogenital region
C0003113	Anomic aphasia
C0003117	Anopheles Genus
C0003119	Anophthalmos
C0003123	Anorexia
C0003125	Anorexia nervosa
C0003126	Loss of sense of smell
C0003128	Anovulation
C0003129	Anoxemia
C0003130	Oxygen supply absent
C0003132	Anoxic encephalopathy
C0003134	Anserine
C0003136	Formicidae venom
C0003138	Antacid agent
C0003143	Antazoline
C0003144	Antazoline phosphate
C0003148	Antemortem thrombus
C0003151	Anterior chamber of eye structure
C0003152	Anterior tibial compartment syndrome
C0003153	Anterior eyeball segment structure
C0003158	Anthelmintic-containing product
C0003161	Anthocyanin
C0003162	Anthracene
C0003164	Anthracosilicosis
C0003165	Coal workers' pneumoconiosis
C0003166	Anthralin
C0003168	Anthranilate phosphoribosyltransferase
C0003169	Anthranilate synthase
C0003174	Anthraquinone
C0003175	Anthrax
C0003177	Cutaneous anthrax
C0003191	Antirheumatic agent
C0003195	Antiarrhythmic agent
C0003204	Anti-infective product
C0003205	Antiseptic agent
C0003209	Antiinflammatory agent
C0003211	Non-steroidal anti-inflammatory agent
C0003232	Antibiotic
C0003233	Aminoglycoside antibacterial
C0003234	Anthracycline
C0003235	Antibiotics, Antifungal
C0003236	Antineoplastic antibiotic
C0003240	Macrolide antibacterial
C0003241	Antibody-containing product
C0003243	Antinuclear antibody
C0003244	Anti bacterial antibody
C0003245	Anti fungal antibody
C0003246	Helminth antibody
C0003248	Heterophil antibody
C0003250	Monoclonal antibody-containing product
C0003253	Anti viral antibody
C0003280	Anticoagulant
C0003286	Anticonvulsant agent
C0003289	Antidepressant agent
C0003290	Tricyclic antidepressant
C0003292	Antidiarrheal agent
C0003295	Antidote
C0003297	Antiemetic agent
C0003299	Antiepileptic Agents
C0003304	Antifibrinolytic Agents
C0003305	Antiflatulent agent
C0003308	Antifungal
C0003313	Immune complex
C0003316	Epitope
C0003320	Antigen
C0003321	Bacterial antigen
C0003323	Lymphocyte antigen CD4
C0003330	Fungal antigen
C0003331	Helminth antigen
C0003333	Heterophil antigen
C0003338	Protozoal antigen
C0003340	Thymus-independent antigen
C0003342	Viral antigen
C0003364	Hypotensive agent
C0003369	Anti lymphocyte antibody
C0003371	Antilymphocyte immunoglobulin-containing product
C0003372	Antilymphocyte Serum
C0003374	Antimalarial-containing product
C0003376	Antimetabolite-containing product
C0003379	Mitotic inhibitor
C0003380	Antimony
C0003382	Antimony potassium tartrate
C0003384	Antimony sodium tartrate
C0003385	Muscarinic receptor antagonist
C0003391	Nematocide
C0003392	Antineoplastic agent
C0003402	Antioxidants
C0003405	Antiparkinson agent
C0003410	Antiplasmin
C0003416	Antiprotozoal
C0003420	Antipyrine
C0003431	Antisocial personality disorder
C0003436	Antistreptolysin O
C0003438	Antithrombin III
C0003440	Direct thrombin inhibitor-containing product
C0003442	Antithymocyte immunoglobulin
C0003445	Antitoxin
C0003446	Antitreponemal agent
C0003447	Antitrichomonal-containing product
C0003448	Antituberculosis agent
C0003449	Antitussive agent
C0003450	Antivenom-containing product
C0003451	Antiviral-containing product
C0003460	Anuria
C0003461	Anal structure
C0003462	Disorder of anus
C0003463	Neoplasm of anus
C0003466	Imperforate anus
C0003467	Anxiety
C0003469	Anxiety disorder
C0003471	Anxiety disorder of childhood OR adolescence
C0003476	Castration anxiety complex
C0003477	Separation anxiety
C0003483	Aortic
C0003484	Abdominal aorta structure
C0003486	Aortic aneurysm
C0003489	Aortic arch structure
C0003492	Coarctation of aorta
C0003493	Disorder of aorta
C0003499	Supravalvar aortic stenosis
C0003501	Aortic valve structure
C0003504	Aortic valve regurgitation
C0003506	Replacement of aortic valve
C0003507	Aortic valve stenosis
C0003509	Aortitis
C0003511	Syphilitic aortitis
C0003515	Aortography
C0003516	Aortopulmonary window
C0003524	Apazone
C0003531	Apexcardiography
C0003533	Finding of Apgar score
C0003534	Aphakia
C0003537	Aphasia
C0003550	Motor aphasia
C0003564	Aphonia
C0003571	Root amputation, per root
C0003578	Apnea
C0003580	Drug-induced apnea
C0003584	Apocrine gland structure
C0003591	Apolipoprotein
C0003592	Apolipoprotein A
C0003593	Apolipoprotein B
C0003594	Apolipoprotein C
C0003595	Apolipoprotein E
C0003596	Apomorphine
C0003597	Suture of aponeurosis
C0003611	Appendectomy
C0003614	Neoplasm of appendix
C0003615	Appendicitis
C0003617	Appendix structure
C0003618	Food appetite
C0003620	Anorexiant agent
C0003622	Appetite control
C0003635	Dyspraxia
C0003639	aprindine
C0003640	Propoxur
C0003641	Aprotinin
C0003650	Apudoma
C0003652	Apyrase
C0003662	Structure of aqueous humor
C0003663	Vitamin B>12a<
C0003674	Vidarabine Phosphate
C0003682	Arabinose
C0003691	Arachidonate 12-lipoxygenase
C0003692	Arachidonate 15-lipoxygenase
C0003693	Arachidonate 5-lipoxygenase
C0003695	Arachidonic acid
C0003704	Arachnida (invertebrate)
C0003705	Poisoning due to venomous spider
C0003706	Arachnodactyly
C0003707	Arachnoid structure
C0003708	Arachnoiditis
C0003721	Arbovirus hemorrhagic fever
C0003723	Arbovirus infection
C0003741	Structure of nucleus infundibularis hypothalami
C0003742	Arcus senilis
C0003753	Arecoline
C0003756	Disease due to Arenavirus
C0003762	Arginase
C0003765	Arginine
C0003766	Arginine carboxypeptidase
C0003768	Arginine kinase
C0003775	Argininosuccinate lyase
C0003776	Argininosuccinate synthetase
C0003777	Argininosuccinic acid
C0003778	Arginine-tRNA ligase
C0003779	Argipressin
C0003781	Argon
C0003782	Argyria
C0003793	Bone structure of upper limb
C0003794	Injury of upper extremity
C0003799	Armenian language
C0003803	Chiari malformation
C0003805	Cytochrome p450 CYP19A1 enzyme
C0003810	Sertoli-Leydig cell tumor of ovary
C0003811	Cardiac arrhythmia
C0003813	Sinus Arrhythmia
C0003814	Arsanilic acid
C0003815	Arsenamide
C0003818	Arsenic
C0003819	Arsenicals
C0003827	Art therapy
C0003830	Trihexyphenidyl hydrochloride
C0003834	Arterial insufficiency
C0003835	Arterial line
C0003842	Arterial structure
C0003844	Arteriography
C0003847	Structure of arteriole
C0003848	Arteriolitis
C0003850	Arteriosclerosis
C0003851	Arteriosclerosis obliterans
C0003855	Arteriovenous fistula
C0003857	Congenital arteriovenous malformation
C0003860	Arteritis
C0003861	Pulmonary arteritis
C0003862	Joint pain
C0003864	Arthritis
C0003868	Gouty arthropathy
C0003869	Infective arthritis
C0003872	Psoriasis with arthropathy
C0003873	Rheumatoid arthritis
C0003874	Acute suppurative arthritis due to bacteria
C0003875	Arthritis due to viral infection
C0003881	Arthrodesis
C0003885	Arthrography
C0003886	Arthrogryposis
C0003892	Charcot's arthropathy
C0003893	Arthroplasty
C0003899	Arthropod venom
C0003903	Arthropods
C0003904	Arthroscopy
C0003907	Arthus type urticaria
C0003915	Artificial insemination with sperm washing and capacitation
C0003918	Artificial organ
C0003927	Unspecific monooxygenase
C0003933	Arylamine acetyltransferase
C0003940	Arylsulfatase
C0003942	Aryl sulfotransferase
C0003943	Arytenoid cartilage structure
C0003947	Asbestos
C0003948	Exposure to asbestos
C0003949	Asbestosis
C0003950	Ascariasis
C0003952	Infection by Ascaridia
C0003955	Ascaris lumbricoides
C0003956	Ascending aorta structure
C0003960	Aschoff body
C0003962	Ascites
C0003964	Peritoneal fluid
C0003967	L-Ascorbate oxidase
C0003968	Ascorbic acid-containing product
C0003969	Ascorbic acid deficiency
C0003977	Aseptic necrosis of head AND/OR neck of femur
C0003993	Asparaginase-containing product
C0003995	Asparagine
C0003997	Aspartate-ammonia ligase
C0003999	Aspartame
C0004002	Aspartate aminotransferase
C0004004	Aspartate ammonia-lyase
C0004006	Aspartate carbamoyltransferase
C0004007	Aspartate kinase
C0004011	Magnesium aspartate hydrochloride
C0004012	Aspartate-semialdehyde dehydrogenase
C0004015	Aspartic acid
C0004022	Aspartate-tRNA ligase
C0004025	N^4^(beta-N-Acetylglucosaminyl)-L-asparaginase
C0004030	Aspergillosis
C0004031	Allergic bronchopulmonary aspergillosis
C0004032	Disseminated aspergillosis
C0004034	Aspergillus
C0004037	Aspergillus fumigatus
C0004040	Aspergillus nuclease S>1<
C0004044	Asphyxiation
C0004045	Birth asphyxia
C0004048	Inspiration
C0004050	Aspiration curettage of uterus for termination of pregnancy
C0004052	Pulmonary aspiration of gastric contents
C0004057	Aspirin
C0004058	Allergy to aspirin
C0004063	Assault
C0004076	Glucose measurement, urine
